SAU,SAU.Desc,TA,Region,Water
500100,Awanui,Far North District,Northland,0
500202,Mangonui East,Far North District,Northland,0
500203,Taipa Bay-Mangonui,Far North District,Northland,0
500204,Mangonui West,Far North District,Northland,0
500205,Ahipara,Far North District,Northland,0
500206,North Cape,Far North District,Northland,0
500207,Houhora,Far North District,Northland,0
500208,Motutangi-Kareponia,Far North District,Northland,0
500301,Kaitaia West,Far North District,Northland,0
500302,Kaitaia East,Far North District,Northland,0
500401,Kaeo,Far North District,Northland,0
500402,Mangapa-Matauri Bay,Far North District,Northland,0
500500,Kohukohu,Far North District,Northland,0
500600,Rawene,Far North District,Northland,0
500700,Omapere And Opononi,Far North District,Northland,0
500801,Hokianga North,Far North District,Northland,0
500802,Hokianga South,Far North District,Northland,0
500900,Kerikeri,Far North District,Northland,0
501000,Russell,Far North District,Northland,0
501100,Paihia,Far North District,Northland,0
501200,Haruru Falls,Far North District,Northland,0
501300,East Opua,Far North District,Northland,0
501400,Kawakawa,Far North District,Northland,0
501500,Moerewa,Far North District,Northland,0
501611,Waitangi-Te Tii,Far North District,Northland,0
501612,West Opua,Far North District,Northland,0
501613,Bay Of Islands,Far North District,Northland,0
501620,Pokere-Waihaha,Far North District,Northland,0
501631,Okaihau,Far North District,Northland,0
501632,Ohaeawai,Far North District,Northland,0
501633,Waihou Valley-Hupara,Far North District,Northland,0
501634,Ngapuhi-Kaikou,Far North District,Northland,0
501700,Kaikohe,Far North District,Northland,0
501802,Opouteke-Tanekaha,Whangarei District,Northland,0
501805,Bream Head,Whangarei District,Northland,0
501806,Marsden Point-Ruakaka,Whangarei District,Northland,0
501807,Ngunguru,Whangarei District,Northland,0
501809,Wharekohe-Oakleigh,Whangarei District,Northland,0
501810,Maungatapere,Whangarei District,Northland,0
501811,Waiotira-Springfield,Whangarei District,Northland,0
501812,Waipu,Whangarei District,Northland,0
501813,Whangaruru Harbour,Whangarei District,Northland,0
501814,Punaruku-Kiripaka,Whangarei District,Northland,0
502001,Springs Flat,Whangarei District,Northland,0
502002,Three Mile Bush,Whangarei District,Northland,0
502003,Te Hihi,Whangarei District,Northland,0
502004,Abbey Caves,Whangarei District,Northland,0
502005,Otaika-Portland,Whangarei District,Northland,0
502101,Kamo West,Whangarei District,Northland,0
502102,Kamo East,Whangarei District,Northland,0
502201,Tikipunga West,Whangarei District,Northland,0
502202,Tikipunga East,Whangarei District,Northland,0
502300,Whau Valley,Whangarei District,Northland,0
502400,Otangarei,Whangarei District,Northland,0
502500,Western Hills,Whangarei District,Northland,0
502600,Kensington,Whangarei District,Northland,0
502700,Mairtown,Whangarei District,Northland,0
502800,Regent,Whangarei District,Northland,0
502900,Woodhill,Whangarei District,Northland,0
503000,Vinetown,Whangarei District,Northland,0
503100,Whangarei Central,Whangarei District,Northland,0
503200,Riverside,Whangarei District,Northland,0
503300,Horahora,Whangarei District,Northland,0
503400,Maunu,Whangarei District,Northland,0
503500,Raumanga East,Whangarei District,Northland,0
503600,Morningside,Whangarei District,Northland,0
503700,Parahaki,Whangarei District,Northland,0
503800,Raumanga West,Whangarei District,Northland,0
503900,Port-Limeburners,Whangarei District,Northland,0
504000,Sherwood Rise,Whangarei District,Northland,0
504100,Onerahi,Whangarei District,Northland,0
504300,Hikurangi,Whangarei District,Northland,0
504400,Te Kopuru,Kaipara District,Northland,0
504501,Kaipara Coastal,Kaipara District,Northland,0
504502,Maungaru,Kaipara District,Northland,0
504600,Dargaville,Kaipara District,Northland,0
504700,Maungaturoto,Kaipara District,Northland,0
504800,Ruawai,Kaipara District,Northland,0
504900,Kaiwaka,Kaipara District,Northland,0
505010,Rehia-Oneriri,Kaipara District,Northland,0
505021,Mangawhai,Kaipara District,Northland,0
505022,Mangawhai Heads,Kaipara District,Northland,0
505300,Wellsford,Rodney District,Auckland,0
505400,Leigh,Rodney District,Auckland,0
505500,Warkworth,Rodney District,Auckland,0
505600,Kumeu,Rodney District,Auckland,0
505700,Waipareira West,Rodney District,Auckland,0
505802,Red Beach,Rodney District,Auckland,0
505803,Waiwera,Rodney District,Auckland,0
505804,Hatfields Beach,Rodney District,Auckland,0
505805,Orewa,Rodney District,Auckland,0
505901,Stanmore Bay,Rodney District,Auckland,0
505902,Manly,Rodney District,Auckland,0
505904,Army Bay,Rodney District,Auckland,0
505905,Gulf Harbour,Rodney District,Auckland,0
506000,Silverdale South,Rodney District,Auckland,0
506200,Silverdale North,Rodney District,Auckland,0
506300,Dairy Flat-Redvale,Rodney District,Auckland,0
506400,Paremoremo West,Rodney District,Auckland,0
506613,Tauhoa-Puhoi,Rodney District,Auckland,0
506614,Tahekeroa,Rodney District,Auckland,0
506615,Cape Rodney,Rodney District,Auckland,0
506616,Matheson Bay,Rodney District,Auckland,0
506620,Kawau,Rodney District,Auckland,0
506631,Snells Beach,Rodney District,Auckland,0
506632,Algies Bay-Mahurangi,Rodney District,Auckland,0
506641,Parakai,Rodney District,Auckland,0
506642,South Head,Rodney District,Auckland,0
506643,Kaukapakapa,Rodney District,Auckland,0
506651,Muriwai Beach,Rodney District,Auckland,0
506652,Rewiti,Rodney District,Auckland,0
506653,Riverhead,Rodney District,Auckland,0
506800,Helensville,Rodney District,Auckland,0
506901,Awaruku,North Shore City,Auckland,0
506902,Glamorgan,North Shore City,Auckland,0
506903,Torbay,North Shore City,Auckland,0
507000,Waiake,North Shore City,Auckland,0
507101,Browns Bay,North Shore City,Auckland,0
507102,Oaktree,North Shore City,Auckland,0
507200,Rothesay Bay,North Shore City,Auckland,0
507300,Murrays Bay,North Shore City,Auckland,0
507400,Mairangi Bay,North Shore City,Auckland,0
507500,Campbells Bay,North Shore City,Auckland,0
507710,Castor Bay,North Shore City,Auckland,0
507720,Crown Hill,North Shore City,Auckland,0
507800,Lake Pupuke,North Shore City,Auckland,0
507900,Westlake,North Shore City,Auckland,0
508010,Takapuna Central,North Shore City,Auckland,0
508020,Hauraki,North Shore City,Auckland,0
508110,Seacliffe,North Shore City,Auckland,0
508120,Bayswater,North Shore City,Auckland,0
508210,Kaipatiki,North Shore City,Auckland,0
508220,Windy Ridge,North Shore City,Auckland,0
508310,Glenfield Central,North Shore City,Auckland,0
508320,Glenfield North,North Shore City,Auckland,0
508411,Glendhu,North Shore City,Auckland,0
508412,Witheford,North Shore City,Auckland,0
508420,Target Road,North Shore City,Auckland,0
508510,Forrest Hill,North Shore City,Auckland,0
508520,Sunnynook,North Shore City,Auckland,0
508610,Monarch Park,North Shore City,Auckland,0
508620,Sunnybrae,North Shore City,Auckland,0
508701,Albany,North Shore City,Auckland,0
508702,Northcross,North Shore City,Auckland,0
508801,North Harbour,North Shore City,Auckland,0
508802,Pinehill,North Shore City,Auckland,0
508803,Unsworth Heights,North Shore City,Auckland,0
508900,Long Bay,North Shore City,Auckland,0
509000,Paremoremo East,North Shore City,Auckland,0
509100,Greenhithe,North Shore City,Auckland,0
509300,Narrow Neck,North Shore City,Auckland,0
509400,Mt Victoria,North Shore City,Auckland,0
509500,Stanley Bay,North Shore City,Auckland,0
509701,Ocean View,North Shore City,Auckland,0
509702,Tuff Crater,North Shore City,Auckland,0
509800,Northcote South,North Shore City,Auckland,0
510010,Beachhaven North,North Shore City,Auckland,0
510020,Beachhaven South,North Shore City,Auckland,0
510210,Birkdale North,North Shore City,Auckland,0
510220,Birkdale South,North Shore City,Auckland,0
510401,Kauri Park,North Shore City,Auckland,0
510402,Chelsea,North Shore City,Auckland,0
510500,Birkenhead East,North Shore City,Auckland,0
510700,Henderson North,Waitakere City,Auckland,0
510800,Henderson South,Waitakere City,Auckland,0
511001,Tangutu,Waitakere City,Auckland,0
511002,Woodglen,Waitakere City,Auckland,0
511100,Glen Eden East,Waitakere City,Auckland,0
511300,New Lynn North,Waitakere City,Auckland,0
511401,Fruitvale,Waitakere City,Auckland,0
511402,Rewarewa,Waitakere City,Auckland,0
511601,Glendene North,Waitakere City,Auckland,0
511602,Glendene South,Waitakere City,Auckland,0
511700,Kelston Central,Waitakere City,Auckland,0
511800,Sunnyvale,Waitakere City,Auckland,0
511901,Kaurilands,Waitakere City,Auckland,0
511902,Crum Park,Waitakere City,Auckland,0
512000,Titirangi South,Waitakere City,Auckland,0
512100,Green Bay,Waitakere City,Auckland,0
512201,Matipo,Waitakere City,Auckland,0
512202,Durham Green,Waitakere City,Auckland,0
512300,Te Atatu Central,Waitakere City,Auckland,0
512401,Edmonton,Waitakere City,Auckland,0
512402,Wakeling,Waitakere City,Auckland,0
512500,Mcleod,Waitakere City,Auckland,0
512600,Konini,Waitakere City,Auckland,0
512700,Waima,Waitakere City,Auckland,0
512801,Laingholm,Waitakere City,Auckland,0
512802,Armour Bay,Waitakere City,Auckland,0
512901,Parrs Park,Waitakere City,Auckland,0
512902,Otimai,Waitakere City,Auckland,0
513010,Sturges South,Waitakere City,Auckland,0
513020,Opanuku,Waitakere City,Auckland,0
513100,Swanson,Waitakere City,Auckland,0
513210,Ranui North,Waitakere City,Auckland,0
513220,Sturges North,Waitakere City,Auckland,0
513301,Kingdale,Waitakere City,Auckland,0
513302,Fairdene,Waitakere City,Auckland,0
513410,Whenuapai West,Waitakere City,Auckland,0
513420,Herald,Waitakere City,Auckland,0
513430,Hobsonville,Waitakere City,Auckland,0
513511,Westgate,Waitakere City,Auckland,0
513512,Royal Road West,Waitakere City,Auckland,0
513521,West Harbour,Waitakere City,Auckland,0
513522,Lucken Point,Waitakere City,Auckland,0
513530,Royal Heights,Waitakere City,Auckland,0
513610,West Massey,Waitakere City,Auckland,0
513620,Birdwood,Waitakere City,Auckland,0
513631,Waimumu North,Waitakere City,Auckland,0
513632,Waimumu South,Waitakere City,Auckland,0
513701,Taupaki,Rodney District,Auckland,0
513702,Waitakere,Waitakere City,Auckland,0
513800,Karekare,Waitakere City,Auckland,0
514000,Freemans Bay,Auckland City,Auckland,0
514101,Auckland Harbourside,Auckland City,Auckland,0
514102,Auckland Central West,Auckland City,Auckland,0
514103,Auckland Central East,Auckland City,Auckland,0
514200,Newton,Auckland City,Auckland,0
514301,Grafton West,Auckland City,Auckland,0
514302,Grafton East,Auckland City,Auckland,0
514401,Roberton,Auckland City,Auckland,0
514402,Glenavon,Auckland City,Auckland,0
514500,New Windsor,Auckland City,Auckland,0
514600,Avondale South,Auckland City,Auckland,0
514700,Blockhouse Bay,Auckland City,Auckland,0
514801,Rosebank,Auckland City,Auckland,0
514802,Avondale West,Auckland City,Auckland,0
514900,Waterview,Auckland City,Auckland,0
515001,Point Chevalier West,Auckland City,Auckland,0
515002,Point Chevalier East,Auckland City,Auckland,0
515003,Point Chevalier South,Auckland City,Auckland,0
515100,Westmere,Auckland City,Auckland,0
515201,Herne Bay,Auckland City,Auckland,0
515202,St Marys,Auckland City,Auckland,0
515301,Ponsonby West,Auckland City,Auckland,0
515302,Ponsonby East,Auckland City,Auckland,0
515410,Grey Lynn West,Auckland City,Auckland,0
515420,Grey Lynn East,Auckland City,Auckland,0
515431,Surrey Crescent,Auckland City,Auckland,0
515432,St Lukes North,Auckland City,Auckland,0
515500,Arch Hill,Auckland City,Auckland,0
515600,Eden Terrace,Auckland City,Auckland,0
515700,Epsom North,Auckland City,Auckland,0
515801,Epsom Central,Auckland City,Auckland,0
515802,Epsom South,Auckland City,Auckland,0
515901,Parnell East,Auckland City,Auckland,0
515902,Parnell West,Auckland City,Auckland,0
516001,Mt Hobson,Auckland City,Auckland,0
516002,Remuera South,Auckland City,Auckland,0
516003,Abbotts Park,Auckland City,Auckland,0
516101,Remuera West,Auckland City,Auckland,0
516102,Waitaramoa,Auckland City,Auckland,0
516201,Orakei South,Auckland City,Auckland,0
516202,Waiata,Auckland City,Auckland,0
516301,Meadowbank North,Auckland City,Auckland,0
516302,Meadowbank South,Auckland City,Auckland,0
516400,Orakei North,Auckland City,Auckland,0
516500,Mission Bay,Auckland City,Auckland,0
516601,Kohimarama West,Auckland City,Auckland,0
516602,Kohimarama East,Auckland City,Auckland,0
516700,St Heliers,Auckland City,Auckland,0
516800,Glendowie,Auckland City,Auckland,0
516900,Glen Innes North,Auckland City,Auckland,0
517001,Glen Innes West,Auckland City,Auckland,0
517002,Glen Innes East,Auckland City,Auckland,0
517100,Point England,Auckland City,Auckland,0
517200,St Johns,Auckland City,Auckland,0
517400,Newmarket,Auckland City,Auckland,0
517500,Kingsland,Auckland City,Auckland,0
517600,St Lukes,Auckland City,Auckland,0
517701,Sandringham North,Auckland City,Auckland,0
517702,Sandringham West,Auckland City,Auckland,0
517703,Sandringham East,Auckland City,Auckland,0
517800,Mt Albert Central,Auckland City,Auckland,0
517901,Springleigh,Auckland City,Auckland,0
517902,Owairaka West,Auckland City,Auckland,0
517903,Owairaka East,Auckland City,Auckland,0
518101,Mt Eden North,Auckland City,Auckland,0
518102,Sherbourne,Auckland City,Auckland,0
518201,Balmoral,Auckland City,Auckland,0
518202,Mt Eden East,Auckland City,Auckland,0
518301,Maungawhau,Auckland City,Auckland,0
518302,Mt Eden South,Auckland City,Auckland,0
518500,Three Kings,Auckland City,Auckland,0
518600,Royal Oak,Auckland City,Auckland,0
518701,Hillsborough West,Auckland City,Auckland,0
518702,Hillsborough East,Auckland City,Auckland,0
518801,Walmsley,Auckland City,Auckland,0
518802,Wesley,Auckland City,Auckland,0
518803,Akarana,Auckland City,Auckland,0
518901,Lynfield North,Auckland City,Auckland,0
518902,Lynfield South,Auckland City,Auckland,0
519001,Waikowhai West,Auckland City,Auckland,0
519002,Waikowhai East,Auckland City,Auckland,0
519200,Mt St John,Auckland City,Auckland,0
519300,One Tree Hill Central,Auckland City,Auckland,0
519400,One Tree Hill East,Auckland City,Auckland,0
519500,Penrose,Auckland City,Auckland,0
519710,Onehunga North West,Auckland City,Auckland,0
519720,Onehunga North East,Auckland City,Auckland,0
519810,Onehunga South West,Auckland City,Auckland,0
519820,Onehunga South East,Auckland City,Auckland,0
519900,Oranga,Auckland City,Auckland,0
520000,Te Papapa,Auckland City,Auckland,0
520201,Ellerslie North,Auckland City,Auckland,0
520202,Ellerslie South,Auckland City,Auckland,0
520300,Mt Wellington North,Auckland City,Auckland,0
520401,Ferndale,Auckland City,Auckland,0
520402,Hamlin,Auckland City,Auckland,0
520500,Mt Wellington South,Auckland City,Auckland,0
520601,Tamaki,Auckland City,Auckland,0
520602,Panmure Basin,Auckland City,Auckland,0
520801,Waiheke Island,Auckland City,Auckland,0
520802,Bays-Waiheke Island,NA,NA,1
520900,"Islands-Motutapu, Rangitoto, Rakino",Auckland City,Auckland,0
521000,Great Barrier Island,Auckland City,Auckland,0
521111,Paerata-Cape Hill,Franklin District,Auckland,0
521112,Eden Road-Hill Top,Franklin District,Auckland,0
521113,Buckland,Franklin District,Auckland,0
521114,Redoubt,Franklin District,Auckland,0
521115,Opuawhanga,Franklin District,Auckland,0
521121,Patumahoe,Franklin District,Auckland,0
521122,Kingseat,Franklin District,Auckland,0
521131,Pokeno,Franklin District,Auckland,0
521132,Hunua,Franklin District,Auckland,0
521133,Mangatawhiri,Franklin District,Auckland,0
521151,Awhitu,Franklin District,Auckland,0
521152,Glenbrook,Franklin District,Auckland,0
521153,Otaua,Franklin District,Auckland,0
521160,Bombay,Franklin District,Auckland,0
521201,Hingaia,Papakura District,Auckland,0
521202,Whangapouri Creek,Franklin District,Auckland,0
521203,Bremner,Papakura District,Auckland,0
521301,Drury,Papakura District,Auckland,0
521302,Runciman,Franklin District,Auckland,0
521501,Mellons Bay,Manukau City,Auckland,0
521502,Cockle Bay,Manukau City,Auckland,0
521601,Howick West,Manukau City,Auckland,0
521602,Howick Central,Manukau City,Auckland,0
521800,Otahuhu East,Auckland City,Auckland,0
521901,Otahuhu West,Auckland City,Auckland,0
521902,Middlemore,Manukau City,Auckland,0
522100,Papatoetoe West,Manukau City,Auckland,0
522201,Papatoetoe North,Manukau City,Auckland,0
522202,Papatoetoe Central,Manukau City,Auckland,0
522301,Dingwall,Manukau City,Auckland,0
522302,Papatoetoe East,Manukau City,Auckland,0
522400,Puhinui,Manukau City,Auckland,0
522601,Bucklands And Eastern Beaches,Manukau City,Auckland,0
522602,Bucklands Beach South,Manukau City,Auckland,0
522603,Bleakhouse,Manukau City,Auckland,0
522711,Pigeon Mountain North,Manukau City,Auckland,0
522712,Murvale,Manukau City,Auckland,0
522721,Pigeon Mountain South,Manukau City,Auckland,0
522722,Aberfeldy,Manukau City,Auckland,0
522723,Elsmore Park,Manukau City,Auckland,0
522730,Half Moon Bay,Manukau City,Auckland,0
522810,Pakuranga North,Manukau City,Auckland,0
522820,Sunnyhills,Manukau City,Auckland,0
522910,Pakuranga Central,Manukau City,Auckland,0
522920,Edgewater,Manukau City,Auckland,0
523000,Pakuranga East,Manukau City,Auckland,0
523101,Botany Downs,Manukau City,Auckland,0
523102,Maungamaungaroa,Manukau City,Auckland,0
523105,Golfland,Manukau City,Auckland,0
523106,Millhouse,Manukau City,Auckland,0
523107,Burswood,Manukau City,Auckland,0
523108,East Tamaki,Manukau City,Auckland,0
523109,Dannemora,Manukau City,Auckland,0
523110,Kilkenny,Manukau City,Auckland,0
523111,Point View,Manukau City,Auckland,0
523201,Shelly Park,Manukau City,Auckland,0
523202,Turanga,Manukau City,Auckland,0
523300,Beachlands-Maraetai,Manukau City,Auckland,0
523401,Grange,Manukau City,Auckland,0
523402,Otara West,Manukau City,Auckland,0
523501,Otara North,Manukau City,Auckland,0
523502,Otara East,Manukau City,Auckland,0
523601,Otara South,Manukau City,Auckland,0
523602,Ferguson,Manukau City,Auckland,0
523711,Flat Bush,Manukau City,Auckland,0
523712,Donegal Park,Manukau City,Auckland,0
523713,Ormiston,Manukau City,Auckland,0
523721,Clover Park,Manukau City,Auckland,0
523722,Redoubt North,Manukau City,Auckland,0
523813,Ardmore,Papakura District,Auckland,0
523814,Totara Heights,Manukau City,Auckland,0
523815,Wairere,Manukau City,Auckland,0
523816,Randwick Park,Manukau City,Auckland,0
523817,Hyperion,Manukau City,Auckland,0
523820,Redoubt South,Manukau City,Auckland,0
523911,Takanini North,Papakura District,Auckland,0
523912,Takanini South,Papakura District,Auckland,0
523920,Takanini West,Papakura District,Auckland,0
524001,Ambury,Manukau City,Auckland,0
524002,Mangere Bridge,Manukau City,Auckland,0
524111,Mangere Central,Manukau City,Auckland,0
524112,Mascot,Manukau City,Auckland,0
524121,Arahanga,Manukau City,Auckland,0
524122,Viscount,Manukau City,Auckland,0
524200,Mangere South,Manukau City,Auckland,0
524301,Mangere East,Manukau City,Auckland,0
524302,Aorere,Manukau City,Auckland,0
524303,Kohuora,Manukau City,Auckland,0
524401,Favona,Manukau City,Auckland,0
524402,Mangere Station,Manukau City,Auckland,0
524510,Harania North,Manukau City,Auckland,0
524520,Harania West,Manukau City,Auckland,0
524530,Harania East,Manukau City,Auckland,0
524601,Manukau Central,Manukau City,Auckland,0
524602,Wiri,Manukau City,Auckland,0
524711,Burbank,Manukau City,Auckland,0
524712,Homai West,Manukau City,Auckland,0
524713,Rowandale,Manukau City,Auckland,0
524720,Homai East,Manukau City,Auckland,0
524810,Weymouth,Manukau City,Auckland,0
524820,Clendon,Manukau City,Auckland,0
524901,Hillpark,Manukau City,Auckland,0
524902,Manurewa East,Manukau City,Auckland,0
525001,Manurewa Central,Manukau City,Auckland,0
525002,Beaumont,Manukau City,Auckland,0
525101,Leabank,Manukau City,Auckland,0
525102,Wattle Farm,Manukau City,Auckland,0
525200,Clevedon,Manukau City,Auckland,0
525410,Papakura Central,Papakura District,Auckland,0
525420,Papakura North,Papakura District,Auckland,0
525510,Papakura South,Papakura District,Auckland,0
525520,Opaheke,Papakura District,Auckland,0
525530,Rosehill,Papakura District,Auckland,0
525540,Pahurehure,Papakura District,Auckland,0
525610,Papakura East,Papakura District,Auckland,0
525620,Massey Park,Papakura District,Auckland,0
525630,North East Papakura,Papakura District,Auckland,0
525700,Red Hill,Papakura District,Auckland,0
525910,Pukekohe North,Franklin District,Auckland,0
525921,Pukekohe West,Franklin District,Auckland,0
525922,Bledisloe Park,Franklin District,Auckland,0
526101,Waiuku,Franklin District,Auckland,0
526102,South Waiuku,Franklin District,Auckland,0
526200,Tuakau,Franklin District,Auckland,0
526400,Rotowaro,Waikato District,Waikato,0
526500,Raglan,Waikato District,Waikato,0
526601,Waikato Western Hills,Waikato District,Waikato,0
526602,Te Uku,Waikato District,Waikato,0
526603,Te Pahu,Waipa District,Waikato,0
526701,Onewhero,Franklin District,Auckland,0
526702,Te Akau,Waikato District,Waikato,0
526900,Te Kauwhata,Waikato District,Waikato,0
527004,Matangi,Waikato District,Waikato,0
527005,Sylvester,Hamilton City,Waikato,0
527006,Flagstaff,Hamilton City,Waikato,0
527007,Horsham Downs,Hamilton City,Waikato,0
527008,Rototuna,Hamilton City,Waikato,0
527009,Huntington,Hamilton City,Waikato,0
527111,Whitikahu,Waikato District,Waikato,0
527112,Taupiri Community,Waikato District,Waikato,0
527121,Eureka,Waikato District,Waikato,0
527122,Gordonton,Waikato District,Waikato,0
527123,Kainui,Waikato District,Waikato,0
527131,Tamahere-Tauwhare,Waikato District,Waikato,0
527132,Hautapu,Waipa District,Waikato,0
527210,Waerenga,Waikato District,Waikato,0
527221,Maramarua,Waikato District,Waikato,0
527222,Meremere,Waikato District,Waikato,0
527401,Huntly West,Waikato District,Waikato,0
527402,Huntly East,Waikato District,Waikato,0
527501,Cambridge North,Waipa District,Waikato,0
527502,Cambridge West,Waipa District,Waikato,0
527503,Cambridge Central,Waipa District,Waikato,0
527504,Leamington West,Waipa District,Waikato,0
527505,Leamington East,Waipa District,Waikato,0
527600,Ohaupo,Waipa District,Waikato,0
527700,Kihikihi,Waipa District,Waikato,0
527810,Peacocke,Hamilton City,Waikato,0
527820,Temple View,Waipa District,Waikato,0
527911,Horotiu,Waikato District,Waikato,0
527912,Te Kowhai,Waikato District,Waikato,0
527913,Whatawhata,Waikato District,Waikato,0
527914,Ngahinapouri,Waipa District,Waikato,0
527915,Lake Cameron,Waipa District,Waikato,0
527921,Te Rore,Waipa District,Waikato,0
527922,Pirongia,Waipa District,Waikato,0
527923,Pokuru,Waipa District,Waikato,0
